"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:24:25"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",3224
"測定時間(sec)",6.448
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.123307393902439,-0.101226436585366
0.002,-0.125912064634146,-0.100546856097561
0.004,-0.127360793902439,-0.0987693512195122
0.006,-0.127708717073171,-0.0971708756097561
0.008,-0.128005307317073,-0.0975618170731707
0.010,-0.12935327195122,-0.098374756097561
0.012,-0.130959802439024,-0.0993429756097561
0.014,-0.129878008536585,-0.10013033902439
0.016,-0.12771632195122,-0.100833668292683
0.018,-0.126330332926829,-0.101838424390244
0.020,-0.125663004878049,-0.10307336097561
0.022,-0.124879702439024,-0.104523863414634
0.024,-0.12202597195122,-0.105625441463415
0.026,-0.118797701219512,-0.105848314634146
0.028,-0.116970629268293,-0.105165080487805
0.030,-0.116677841463415,-0.104165804878049
0.032,-0.117647463414634,-0.104205995121951
0.034,-0.117634154878049,-0.104903843902439
0.036,-0.115987698780488,-0.106264831707317
0.038,-0.113653001219512,-0.108225019512195
0.040,-0.113396336585366,-0.110601724390244
0.042,-0.113584557317073,-0.111465814634146
0.044,-0.113649198780488,-0.11161196097561
0.046,-0.112483751219512,-0.112450475609756
0.048,-0.111339217073171,-0.112508934146341
0.050,-0.112084495121951,-0.113038714634146
0.052,-0.113710037804878,-0.114556809756098
0.054,-0.115137853658537,-0.115842897560976
0.056,-0.116132191463415,-0.115201680487805
0.058,-0.116750087804878,-0.114408836585366
0.060,-0.118723553658537,-0.114151253658537
0.062,-0.122487968292683,-0.112539990243902
0.064,-0.124343558536585,-0.111171695121951
0.066,-0.123661020731707,-0.110629126829268
0.068,-0.121968935365854,-0.111962712195122
0.070,-0.122341574390244,-0.113992319512195
0.072,-0.122128637804878,-0.115895875609756
0.074,-0.119733101219512,-0.116334314634146
0.076,-0.116037130487805,-0.116239319512195
0.078,-0.113862135365854,-0.116279509756098
0.080,-0.112902019512195,-0.115990870731707
0.082,-0.112886809756098,-0.11475776097561
0.084,-0.113035104878049,-0.114807085365854
0.086,-0.112632046341463,-0.116429309756098
0.088,-0.113675815853659,-0.117103409756098
0.090,-0.116377448780488,-0.117339070731707
0.092,-0.119742607317073,-0.117395702439024
0.094,-0.121887182926829,-0.116516997560976
0.096,-0.121371952439024,-0.115205334146341
0.098,-0.121634320731707,-0.113723775609756
0.100,-0.1245641,-0.112450475609756
0.102,-0.128273379268293,-0.111498697560976
0.104,-0.130642298780488,-0.109827148780488
0.106,-0.130708841463415,-0.108995941463415
0.108,-0.1311119,-0.109098243902439
0.110,-0.133522646341463,-0.10982532195122
0.112,-0.13726995,-0.109892914634146
0.114,-0.13901907195122,-0.10996416097561
0.116,-0.137690119512195,-0.111193617073171
0.118,-0.13636877195122,-0.111405529268293
0.120,-0.135863047560976,-0.11162292195122
0.122,-0.137557034146341,-0.112434034146341
0.124,-0.138467718292683,-0.112455956097561
0.126,-0.137342196341463,-0.11237192195122
0.128,-0.136017046341463,-0.113517343902439
0.130,-0.137357406097561,-0.115810014634146
0.132,-0.138349842682927,-0.116778234146341
0.134,-0.137604564634146,-0.117772029268293
0.136,-0.135328804878049,-0.11933762195122
0.138,-0.133169019512195,-0.121381843902439
0.140,-0.131537773170732,-0.122571109756098
0.142,-0.128877967073171,-0.122952917073171
0.144,-0.123432874390244,-0.123579519512195
0.146,-0.117415514634146,-0.124134875609756
0.148,-0.113852629268293,-0.125209051219512
0.150,-0.114635931707317,-0.126809353658537
0.152,-0.11626717804878,-0.127686231707317
0.154,-0.11595537804878,-0.12799313902439
0.156,-0.114672054878049,-0.127920065853659
0.158,-0.113837419512195,-0.127974870731707
0.160,-0.115023780487805,-0.128760407317073
0.162,-0.117525785365854,-0.130159758536585
0.164,-0.119008736585366,-0.131886112195122
0.166,-0.119428906097561,-0.134176956097561
0.168,-0.120428947560976,-0.136056763414634
0.170,-0.122370092682927,-0.136959217073171
0.172,-0.124853085365854,-0.136898931707317
0.174,-0.126328431707317,-0.135777258536585
0.176,-0.126303715853659,-0.134471075609756
0.178,-0.125836015853659,-0.133009612195122
0.180,-0.127988196341463,-0.131100575609756
0.182,-0.130784890243902,-0.128859056097561
0.184,-0.132741245121951,-0.127395765853659
0.186,-0.133524547560976,-0.126760029268293
0.188,-0.13566722195122,-0.12709433902439
0.190,-0.139918348780488,-0.126847717073171
0.192,-0.143545875609756,-0.125353370731707
0.194,-0.143507851219512,-0.122878017073171
0.196,-0.140450690243902,-0.121999312195122
0.198,-0.137300369512195,-0.121643080487805
0.200,-0.137220518292683,-0.121164451219512
0.202,-0.137435356097561,-0.119934995121951
0.204,-0.135809813414634,-0.119164073170732
0.206,-0.132957984146341,-0.119151285365854
0.208,-0.131897103658537,-0.120179790243902
0.210,-0.134049284146341,-0.120919656097561
0.212,-0.13792777195122,-0.121586448780488
0.214,-0.139501981707317,-0.122054117073171
0.216,-0.140026718292683,-0.123201365853659
0.218,-0.140285284146341,-0.125822865853659
0.220,-0.140941204878049,-0.129620843902439
0.222,-0.143059163414634,-0.133296424390244
0.224,-0.143743602439024,-0.135357087804878
0.226,-0.143220767073171,-0.136803936585366
0.228,-0.142595265853659,-0.138888348780488
0.230,-0.14362762804878,-0.141193807317073
0.232,-0.145009814634146,-0.142669885365854
0.234,-0.144013575609756,-0.143398790243902
0.236,-0.14052673902439,-0.144277495121951
0.238,-0.137942981707317,-0.145715209756098
0.240,-0.137321282926829,-0.145892412195122
0.242,-0.137323184146341,-0.145022841463415
0.244,-0.135214731707317,-0.143762329268293
0.246,-0.130208820731707,-0.143316582926829
0.248,-0.125136367073171,-0.142492682926829
0.250,-0.123318801219512,-0.141833197560976
0.252,-0.123666724390244,-0.142118182926829
0.254,-0.123997536585366,-0.143413404878049
0.256,-0.122619152439024,-0.144790834146341
0.258,-0.122729423170732,-0.145413782926829
0.260,-0.125362612195122,-0.144646514634146
0.262,-0.127653581707317,-0.142425090243902
0.264,-0.128938806097561,-0.140978241463415
0.266,-0.13025445,-0.140877765853659
0.268,-0.13132863902439,-0.141330819512195
0.270,-0.133265981707317,-0.141869734146341
0.272,-0.136277513414634,-0.142381246341463
0.274,-0.136764225609756,-0.143062653658537
0.276,-0.13528697804878,-0.144668436585366
0.278,-0.135136781707317,-0.144807275609756
0.280,-0.138334632926829,-0.145234753658537
0.282,-0.142213120731707,-0.145108702439024
0.284,-0.14461436097561,-0.145123317073171
0.286,-0.145699957317073,-0.146698043902439
0.288,-0.146165756097561,-0.148442665853659
0.290,-0.147947198780488,-0.148596119512195
0.292,-0.149122152439024,-0.148243541463415
0.294,-0.147947198780488,-0.146860631707317
0.296,-0.145211343902439,-0.144865734146341
0.298,-0.142927979268293,-0.142518258536585
0.300,-0.143437506097561,-0.139770707317073
0.302,-0.1463901,-0.137565724390244
0.304,-0.148304628048781,-0.137476209756098
0.306,-0.147741867073171,-0.138183192682927
0.308,-0.145399564634146,-0.139271982926829
0.310,-0.144450856097561,-0.139836473170732
0.312,-0.143947032926829,-0.139281117073171
0.314,-0.142966003658537,-0.138046180487805
0.316,-0.140376542682927,-0.137578512195122
0.318,-0.13668057195122,-0.13773013902439
0.320,-0.136199563414634,-0.139047282926829
0.322,-0.137684415853659,-0.139575236585366
0.324,-0.138085573170732,-0.138261746341463
0.326,-0.137192,-0.137697256097561
0.328,-0.137684415853659,-0.136654136585366
0.330,-0.14132335,-0.136575582926829
0.332,-0.145517440243902,-0.137439673170732
0.334,-0.146983280487805,-0.1389395
0.336,-0.146867306097561,-0.140717004878049
0.338,-0.147479498780488,-0.143323890243902
0.340,-0.149840813414634,-0.146533629268293
0.342,-0.153263008536585,-0.148625348780488
0.344,-0.154892353658537,-0.149772597560976
0.346,-0.154120458536585,-0.151097048780488
0.348,-0.151905537804878,-0.152330158536585
0.350,-0.150607004878049,-0.153345875609756
0.352,-0.15143973902439,-0.152651680487805
0.354,-0.150401673170732,-0.150642168292683
0.356,-0.146836886585366,-0.148239887804878
0.358,-0.14346222195122,-0.147364836585366
0.360,-0.141085697560976,-0.145782802439024
0.362,-0.140279580487805,-0.145850395121951
0.364,-0.137404936585366,-0.14694283902439
0.366,-0.132170879268293,-0.1485267
0.368,-0.12795017195122,-0.149332331707317
0.370,-0.125910163414634,-0.148727651219512
0.372,-0.125180095121951,-0.147019565853659
0.374,-0.124807456097561,-0.146820441463415
0.376,-0.12376748902439,-0.147987785365854
0.378,-0.122562115853659,-0.149111285365854
0.380,-0.122801669512195,-0.148864663414634
0.382,-0.125185798780488,-0.146816787804878
0.384,-0.127294251219512,-0.144425468292683
0.386,-0.128326613414634,-0.143175917073171
0.388,-0.129571912195122,-0.144080197560976
0.390,-0.132598653658537,-0.145722517073171
0.392,-0.136560795121951,-0.145773668292683
0.394,-0.139633165853659,-0.145117836585366
0.396,-0.141100907317073,-0.146149995121951
0.398,-0.142985015853659,-0.146712658536585
0.400,-0.146409112195122,-0.146281526829268
0.402,-0.150116490243902,-0.145296865853659
0.404,-0.152700247560976,-0.145194563414634
0.406,-0.153409402439024,-0.144673917073171
0.408,-0.153278218292683,-0.144060102439024
0.410,-0.154816304878049,-0.143524841463415
0.412,-0.15685251097561,-0.14285622195122
0.414,-0.157612998780488,-0.142019534146341
0.416,-0.156728931707317,-0.141243131707317
0.418,-0.155498842682927,-0.140417404878049
0.420,-0.155327732926829,-0.139723209756098
0.422,-0.154580553658537,-0.138924885365854
0.424,-0.152015808536585,-0.137615048780488
0.426,-0.148023247560976,-0.136186468292683
0.428,-0.143735997560976,-0.13580466097561
0.430,-0.14173021097561,-0.136546353658537
0.432,-0.141926036585366,-0.137410443902439
0.434,-0.140213037804878,-0.137481690243902
0.436,-0.135378236585366,-0.137808692682927
0.438,-0.130585262195122,-0.139007092682927
0.440,-0.129206878048781,-0.140421058536585
0.442,-0.12975252804878,-0.140086748780488
0.444,-0.130649903658537,-0.139357843902439
0.446,-0.131870486585366,-0.140883246341463
0.448,-0.132296359756098,-0.142775841463415
0.450,-0.133737484146341,-0.143840882926829
0.452,-0.136800348780488,-0.145026495121951
0.454,-0.139543808536585,-0.145724343902439
0.456,-0.140226346341463,-0.145773668292683
0.458,-0.141043870731707,-0.14551973902439
0.460,-0.143483135365854,-0.144885829268293
0.462,-0.147163896341463,-0.14439623902439
0.464,-0.151141247560976,-0.14306996097561
0.466,-0.151694502439024,-0.142035975609756
0.468,-0.150508141463415,-0.14169983902439
0.470,-0.14866776097561,-0.141286975609756
0.472,-0.147283673170732,-0.140642104878049
0.474,-0.145133393902439,-0.139982619512195
0.476,-0.141454534146341,-0.138979690243902
0.478,-0.13869016097561,-0.139094780487805
0.480,-0.136659658536585,-0.139708595121951
0.482,-0.135857343902439,-0.14125043902439
0.484,-0.133878174390244,-0.142158373170732
0.486,-0.129069990243902,-0.141442256097561
0.488,-0.123174308536585,-0.140757195121951
0.490,-0.120501193902439,-0.14042653902439
0.492,-0.119814853658537,-0.139726863414634
0.494,-0.118004892682927,-0.138636246341463
0.496,-0.114662548780488,-0.138091851219512
0.498,-0.112445726829268,-0.137737446341463
0.500,-0.113143474390244,-0.136394726829268
0.502,-0.116447793902439,-0.133477280487805
0.504,-0.118693134146341,-0.131075
0.506,-0.119866186585366,-0.129383356097561
0.508,-0.123102062195122,-0.129164136585366
0.510,-0.129893218292683,-0.128922995121951
0.512,-0.137172987804878,-0.128186782926829
0.514,-0.143080076829268,-0.127498068292683
0.516,-0.147319796341463,-0.127339134146341
0.518,-0.150169724390244,-0.128013234146341
0.520,-0.153156540243902,-0.128944917073171
0.522,-0.156525501219512,-0.128309180487805
0.524,-0.158466646341463,-0.126338031707317
0.526,-0.158763236585366,-0.123625190243902
0.528,-0.158181463414634,-0.120817353658537
0.530,-0.158976173170732,-0.118932065853659
0.532,-0.160538975609756,-0.118424207317073
0.534,-0.16022147195122,-0.117382914634146
